,award_id,award_fixed_id,code,name,award_operative_from,award_operative_to,version_number,last_modified_datetime,published_year
99,1540,100,MA000100,"Social, Community, Home Care and Disability Services Industry Award 2010",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
100,1541,101,MA000101,Gardening and Landscaping Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
101,1542,102,MA000102,Travelling Shows Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
102,1543,103,MA000103,Supported Employment Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
103,1544,104,MA000104,Miscellaneous Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
104,1545,105,MA000105,Funeral Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
105,1546,106,MA000106,Real Estate Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
106,1547,107,MA000107,Salt Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
107,1548,108,MA000108,Professional Diving Industry (Industrial) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
108,1549,109,MA000109,Professional Diving Industry (Recreational) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
109,1550,110,MA000110,Corrections and Detention (Private Sector) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
110,1551,111,MA000111,Fire Fighting Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
111,1552,112,MA000112,Local Government Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
112,1553,113,MA000113,Water Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
113,1554,114,MA000114,Aquaculture Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
114,1555,115,MA000115,Aboriginal and Torres Strait Islander Health Workers and Practitioners and Aboriginal Community Controlled Health Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
115,1556,116,MA000116,Legal Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
116,1557,117,MA000117,Mannequins and Models Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
117,1558,118,MA000118,Animal Care and Veterinary Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
118,1559,119,MA000119,Restaurant Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
119,1560,120,MA000120,Children's Services Award 2010,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
120,1561,121,MA000121,State Government Agencies Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
121,1562,122,MA000122,Seagoing Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
122,1563,123,MA000123,Telstra Award 2015,2015-02-09,,3,2023-06-02T10:39:15+00:00,2023
123,1564,124,MA000124,Australian Public Service Enterprise Award 2015,2015-05-14,,2,2023-06-02T10:39:15+00:00,2023
124,1565,125,MA000125,Nurses and Midwives (Victoria) State Reference Public Sector Award 2015,2015-06-02,,2,2023-06-02T10:39:15+00:00,2023
125,1566,126,MA000126,Printing Industry – Herald & Weekly Times – Production Award 2015,2015-05-15,,2,2023-06-02T10:39:15+00:00,2023
126,1567,127,MA000127,Chullora Printing Award 2015 ,2015-05-15,,2,2023-06-02T10:39:15+00:00,2023
127,1568,128,MA000128,Queensland Newspapers Pty Ltd Printing (Murarrie) Award 2015,2015-05-15,,2,2023-06-02T10:39:15+00:00,2023
128,1569,129,MA000129,Northern Territory News Award 2015  ,2015-05-15,,2,2023-06-02T10:39:15+00:00,2023
129,1570,130,MA000130,Metropolitan Newspapers (South Australia and Tasmania) Printing Award 2015,2015-05-15,,2,2023-06-02T10:39:15+00:00,2023
130,1571,131,MA000131,Nurses (ANMF - Victorian Local Government) Award 2015,2015-07-20,,2,2023-06-02T10:39:15+00:00,2023
131,1572,132,MA000132,Victorian Local Government Award 2015,2015-07-20,,2,2023-06-02T10:39:15+00:00,2023
132,1573,133,MA000133,Optus Award 2015,2015-07-17,,2,2023-06-02T10:39:15+00:00,2023
133,1574,134,MA000134,Victorian State Government Agencies Award 2015,2015-08-06,,2,2023-06-02T10:39:15+00:00,2023
134,1575,135,MA000135,Victorian Public Service Award 2016,2016-10-03,,2,2023-06-02T10:39:15+00:00,2023
135,1576,136,MA000136,"Viterra Bulk Handling and Storage of Grains, Pulses and Minerals Award 2015",2015-12-14,,2,2023-06-02T10:39:15+00:00,2023
136,1577,137,MA000137,Australia Post Enterprise Award 2015,2015-09-17,,2,2023-06-02T10:39:15+00:00,2023
137,1578,138,MA000138,GrainCorp Country Operations Award 2015 ,2015-12-14,,2,2023-06-02T10:39:15+00:00,2023
138,1579,139,MA000139,Aboriginal Legal Rights Movement Award 2016,2016-05-16,,2,2023-06-02T10:39:15+00:00,2023
139,1580,140,MA000140,Reserve Bank of Australia Award 2016,2016-05-23,,2,2023-06-02T10:39:15+00:00,2023
140,1581,141,MA000141,Airservices Australia Enterprise Award 2016,2016-05-30,,2,2023-06-02T10:39:15+00:00,2023
141,1582,142,MA000142,Australian Federal Police Enterprise Award 2016,2016-08-19,,2,2023-06-02T10:39:15+00:00,2023
142,1583,143,MA000143,Australian Bureau of Statistics (Interviewers) Enterprise Award 2016,2016-07-21,,2,2023-06-02T10:39:15+00:00,2023
143,1584,144,MA000144,Australian Nuclear Science and Technology Organisation (ANSTO) Enterprise Award 2016,2016-08-19,,2,2023-06-02T10:39:15+00:00,2023
144,1585,145,MA000145,Parliamentary Departments Staff Enterprise Award 2016,2016-05-30,,2,2023-06-02T10:39:15+00:00,2023
145,1586,146,MA000146,Australian Capital Territory Public Sector Enterprise Award 2016,2016-06-06,,2,2023-06-02T10:39:15+00:00,2023
146,1587,147,MA000147,Australian Broadcasting Corporation Enterprise Award 2016,2016-08-24,,2,2023-06-02T10:39:15+00:00,2023
147,1588,148,MA000148,CSIRO Enterprise Award 2016,2016-08-19,,2,2023-06-02T10:39:15+00:00,2023
148,1589,149,MA000149,Christmas Island Administration Enterprise Award 2016,2016-05-23,,2,2023-06-02T10:39:15+00:00,2023
149,1590,150,MA000150,Victorian Local Government  (Early Childhood Education Employees) Award 2016,2016-07-18,,2,2023-06-02T10:39:15+00:00,2023
150,1591,151,MA000151,Northern Territory Public Sector Enterprise Award 2016,2016-08-19,,2,2023-06-02T10:39:15+00:00,2023
151,1592,152,MA000152,Victorian Government Schools—Early Childhood—Award 2016,2016-08-15,,2,2023-06-02T10:39:15+00:00,2023
152,1593,153,MA000153,Australian Government Industry Award 2016,2016-08-15,,2,2023-06-02T10:39:15+00:00,2023
153,1594,154,MA000155,Victorian Government Schools Award 2016,2016-08-15,,2,2023-06-02T10:39:15+00:00,2023
154,1595,155,MA000156,Note Printing Australia Award 2016,2016-11-07,,2,2023-06-02T10:39:15+00:00,2023
155,1596,156,MA000157,"Health Professionals, Medical Scientists and Support Services (Victoria) State Reference Public Sector Modern Award 2018",2020-11-11,,2,2023-06-02T10:39:15+00:00,2023
